ID,Year,Month,Authors,ImpModel,Title,Journal,ReviewOrResearch,ModelClass,ModelBase,ModelBackbone,ModelNeck,ModelHead,ModelInputSize,Dataset,SpacialResMin,SpacialResMax,SpectralRes,ImageSize,ImageProcessing,Hardware,Strengths,Weaknesses,Code,Small
1,2025,8,Wang et al,NA,OOD in optical RS images using DL A survey,AIReview,review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2025,7,Liang,NA,CV and DL in Ship Target Detection,JCEIM,review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2025,2,Zucchetta et al,NA,Satellite Based Monitoring of Small Boat for Environmental Studies A Systematic Review,JMarSciEng,review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024,10,Welch et al,NA,Harnessing AI to map global fishing vessel activity,OneEarth,review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024,3,Zhao et al,NA,Ship Detection with DL in Optical RS Images A survey of challenges and advances,Remote Sensing,review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2023,3,Er et al,NA,Ship Detection with DL a survey,AIReview,review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2022,11,Savelonas,NA,CV and Pattern Recognition for Analysis of 2D3D RS Data in Geoscience,Remote Sensing,review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2022,10,Amani et al,NA,Ocean RS Techniques and Applications A Review Part I,Water,review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2021,3,Li et al,NA,Ship detection and classification from optical RS images A survey,CJA,review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2025,10,Huang et al,DConvTransLGA,A Hybrid CNN-Transformer Network for Object Detection in Optical Remote Sensing Images: Integrating Local and Global Feature Fusion,IEEE JSTAEORS,research,hybrid,MaskRCNN/Transformer,"DConv, LocalAttn, LGA",Feature Residual Pyramid Network (FRPN),NA,NA,NWPUVHR-10/HRRSD/DIOR,NA;0.15;0.5,NA;1.2;30,NA,NA,NA,4× NVIDIA GeForce RTX 3090 GPUs,"Combines local CNN features with global transformer attention; Improved detection of small objects; Enhanced multiscale fusion with FRPN; Outperforms SOTA methods on NWPU, HRRSD and DIOR",Higher computational cost than CNN-only detectors; Generalization varies across datasets; Lower speed due to transformer self-attention,not provided,FALSE
11,2025,8,Zhang et al,NA,Ship Detection for Satellite Images based on Classifier Transfer Learning Combined with Feature Transfer Learning,EECSS,research,other,ResNet,ResNet-101,NA,NA,NA,DOTA,NA,NA,NA,NA,Data augmentation ; Ship subset created from DOTA using BIRD (Bitplane Information Recombination),NA,"Introduces classifier-oriented transfer learning (classifier-TL) and secondary transfer learning combining feature-TL and classifier-TL; Improves performance over direct training; ResNet is widely used backbone architecture within many modern, state-of-the-art detection system",ResNet is not the current state-of-the-art model for computer vision object detection,not provided,FALSE
