"DI","PY","AU","TI","SO","AB","DT","CT","DE","TC","SC"
"",2025,"","6TH INTERNATIONAL CONFERENCE ON 3D IMAGING TECHNOLOGIES—MULTIDIMENSIONAL SIGNAL PROCESSING AND DEEP LEARNING, 3DIT-MSP AND DL 2024","SMART INNOVATION, SYSTEMS AND TECHNOLOGIES","THE PROCEEDINGS CONTAIN 25 PAPERS. THE SPECIAL FOCUS IN THIS CONFERENCE IS ON 3D IMAGING TECHNOLOGIES—MULTIDIMENSIONAL SIGNAL PROCESSING AND DEEP LEARNING. THE TOPICS INCLUDE: ON THE APPLICATION OF VIRTUAL REALITY TECHNOLOGY IN DIGITAL SERVICES OF COLLEGE LIBRARIES; RESEARCH ON USER EXPERIENCE ORIENTED TO DIGITAL EXHIBITION AND PRESENTATION NARRATIVES IN MUSEUMS; RESEARCH ON USER EXPERIENCE DESIGN IN VIRTUAL MUSEUMS UNDER THE CONCEPT OF INTERACTION DESIGN; DESIGN OF AN IMMERSIVE MUSEUM NAVIGATION APP IN THE CONTEXT OF AUDIOVISUAL INTEGRATION; SOIL NUTRIENT DYNAMIC MONITORING USING HYPERSPECTRAL IMAGING AND ARTIFICIAL INTELLIGENCE; RESEARCH ON THE APPLICATION OF VR AND DEEP LEARNING IN PLANT LANDSCAPE DESIGN; POST-PROCESSING AND VISUAL EFFECT OPTIMIZATION OF DIGITAL FILMS IN THE INFORMATION TECHNOLOGY CONTEXT; OPTIMIZATION AND APPLICATION OF 3D POINT CLOUD DEEP LEARNING ALGORITHM; OPTIMIZATION OF 3D MODEL DEFECT DETECTION ALGORITHM BASED ON DEEP LEARNING; DATA RECOGNITION AND SCORING PATH IN ENGLISH ORAL TRAINING PLATFORM BASED ON DEEP LEARNING MODEL; SENTIMENT ANALYSIS COMBINING LARGE MODELS AND DEEP LEARNING: MULTI-SOURCE DATA FUSION FROM TEXT TO SPEECH; ENGLISH SPEECH DISTORTION DETECTION AND REPAIR BASED ON DEEP LEARNING; DESIGN OF A MICRO-LANDMARK RECOGNITION AND INTELLIGENT NAVIGATION SYSTEM BASED ON IMMERSIVE VIRTUAL REALITY TECHNOLOGY; A FRAMEWORK FOR HUMAN SKELETON KEYPOINT DETECTION IN LOW-LIGHT ENVIRONMENTS BASED ON DEEP LEARNING; APPLICATION AND OPTIMIZATION IN SHIP INSPECTION AND INTELLIGENT MAINTENANCE; CVI-LAYOUTXLM: ENHANCED MULTIMODAL RESUME INFORMATION EXTRACTION MODEL; RESEARCH ON PERSONAL CREDIT FAULT PREDICTION METHOD BASED ON IMPROVED LOGISTIC REGRESSION MODEL; REMOTE SENSING IMAGE SEMANTIC SEGMENTATION PREDICTION AND ENHANCEMENT SYSTEM BASED ON DEEP LEARNING.","CONFERENCE REVIEW",NA,"",0,NA
"",2025,"","6TH INTERNATIONAL CONFERENCE ON 3D IMAGING TECHNOLOGIES—MULTIDIMENSIONAL SIGNAL PROCESSING AND DEEP LEARNING, 3DIT-MSP AND DL 2024","SMART INNOVATION, SYSTEMS AND TECHNOLOGIES","THE PROCEEDINGS CONTAIN 25 PAPERS. THE SPECIAL FOCUS IN THIS CONFERENCE IS ON 3D IMAGING TECHNOLOGIES—MULTIDIMENSIONAL SIGNAL PROCESSING AND DEEP LEARNING. THE TOPICS INCLUDE: ON THE APPLICATION OF VIRTUAL REALITY TECHNOLOGY IN DIGITAL SERVICES OF COLLEGE LIBRARIES; RESEARCH ON USER EXPERIENCE ORIENTED TO DIGITAL EXHIBITION AND PRESENTATION NARRATIVES IN MUSEUMS; RESEARCH ON USER EXPERIENCE DESIGN IN VIRTUAL MUSEUMS UNDER THE CONCEPT OF INTERACTION DESIGN; DESIGN OF AN IMMERSIVE MUSEUM NAVIGATION APP IN THE CONTEXT OF AUDIOVISUAL INTEGRATION; SOIL NUTRIENT DYNAMIC MONITORING USING HYPERSPECTRAL IMAGING AND ARTIFICIAL INTELLIGENCE; RESEARCH ON THE APPLICATION OF VR AND DEEP LEARNING IN PLANT LANDSCAPE DESIGN; POST-PROCESSING AND VISUAL EFFECT OPTIMIZATION OF DIGITAL FILMS IN THE INFORMATION TECHNOLOGY CONTEXT; OPTIMIZATION AND APPLICATION OF 3D POINT CLOUD DEEP LEARNING ALGORITHM; OPTIMIZATION OF 3D MODEL DEFECT DETECTION ALGORITHM BASED ON DEEP LEARNING; DATA RECOGNITION AND SCORING PATH IN ENGLISH ORAL TRAINING PLATFORM BASED ON DEEP LEARNING MODEL; SENTIMENT ANALYSIS COMBINING LARGE MODELS AND DEEP LEARNING: MULTI-SOURCE DATA FUSION FROM TEXT TO SPEECH; ENGLISH SPEECH DISTORTION DETECTION AND REPAIR BASED ON DEEP LEARNING; DESIGN OF A MICRO-LANDMARK RECOGNITION AND INTELLIGENT NAVIGATION SYSTEM BASED ON IMMERSIVE VIRTUAL REALITY TECHNOLOGY; A FRAMEWORK FOR HUMAN SKELETON KEYPOINT DETECTION IN LOW-LIGHT ENVIRONMENTS BASED ON DEEP LEARNING; APPLICATION AND OPTIMIZATION IN SHIP INSPECTION AND INTELLIGENT MAINTENANCE; CVI-LAYOUTXLM: ENHANCED MULTIMODAL RESUME INFORMATION EXTRACTION MODEL; RESEARCH ON PERSONAL CREDIT FAULT PREDICTION METHOD BASED ON IMPROVED LOGISTIC REGRESSION MODEL; REMOTE SENSING IMAGE SEMANTIC SEGMENTATION PREDICTION AND ENHANCEMENT SYSTEM BASED ON DEEP LEARNING.","CONFERENCE REVIEW",NA,"",0,NA
"",2025,"","INTERNATIONAL SCIENTIFIC AND TECHNICAL CONFERENCE ON INTEGRATED COMPUTER TECHNOLOGIES IN MECHANICAL ENGINEERING-SYNERGETIC ENGINEERING, ICTM 2024","LECTURE NOTES IN NETWORKS AND SYSTEMS","THE PROCEEDINGS CONTAIN 52 PAPERS. THE SPECIAL FOCUS IN THIS CONFERENCE IS ON INTEGRATED COMPUTER TECHNOLOGIES IN MECHANICAL ENGINEERING-SYNERGETIC ENGINEERING. THE TOPICS INCLUDE: ALGORITHMIC PROVISION OF CONTOURS GUIDANCE OF UNMANNED SYSTEMS; IMPACT OF INFORMATION TECHNOLOGIES ON RAILWAY TRANSPORTATION: UTILIZATION OF SATELLITE NAVIGATION SYSTEMS; MACHINE LEARNING MODEL OF AUTOMOTIVE DAMPERS; METHOD OF INTERPRETIVE VISUAL ANALYTICS FOR NEURAL NETWORK DETECTION OF SOCIAL MEDIA POSTS SENTIMENTS; COMPARATIVE ANALYSIS REGION OF INTEREST (ROI) TRACKING METHODS; PERFORMANCE EVALUATION OF MODIFIED DETECTION ALGORITHMS WITHIN THE FRAMEWORK OF A SIMULATION SYSTEM FOR MODELLING UAV VISUAL GUIDANCE; MODEL-ORIENTED APPROACH TO VIBRATION DIAGNOSTIC SYSTEMS; ANALYSIS OF OPTICAL COHERENCE TOMOGRAPHY IMAGES OF HUMAN ARTERIOSCLEROTIC VESSELS USING COMPUTER VISION AND DEEP LEARNING ALGORITHMS; SENSITIVITY ANALYSIS OF PARAMETERS USED TO GENERATE MATERIAL MICROSTRUCTURES BY CELLULAR AUTOMATA; REMOTE MONITORING OF ICHTHYOFAUNA USING ARTIFICIAL INTELLIGENCE AND ALTSHULLER’S ALGORITHM; APPLICATION OF DETECTRON2 SOFTWARE PLATFORM FOR SURGICAL INSTRUMENT DETECTION AND SEGMENTATION ON OPERATIONAL SPACE OF LAPAROSCOPIC INTERVENTION; SIMULATION OF ACUTE UPPER RESPIRATORY TRACT INFECTIONS IN KHARKIV OBLAST (UKRAINE): THE ARIMA MODEL APPROACH; IMAGE SET FOR VERIFICATION OF METHODS OF DENOISING OF SAR IMAGES; MATHEMATICAL METHODS OF ANALYZING POWER CONSUMPTION BY AN INDUCTION MOTOR WITH A SQUIRREL-CAGE WINDING; MODEL OF INFORMATION TECHNOLOGY INTEGRATION FOR SOLVING ECOSYSTEM MONITORING TASKS; EMERGING TECHNOLOGIES IN INFECTIOUS DISEASE SURVEILLANCE AND CONTROL: CURRENT SOLUTIONS AND FUTURE DIRECTIONS; DEVELOPING HARDWARE AND SOFTWARE FOR UAV ONBOARD COMPUTERS: A COMBINED APPROACH WITH SWOT ANALYSIS; OPTIMIZATION OF UAV ROUTES AND EFFICIENCY ENHANCEMENT USING MODERN IT TECHNOLOGIES; UNMANNED TECHNOLOGIES AND DRONES IN RUNWAY SERVICE.","CONFERENCE REVIEW",NA,"",0,NA
"",2025,"","INTERNATIONAL SCIENTIFIC AND TECHNICAL CONFERENCE ON INTEGRATED COMPUTER TECHNOLOGIES IN MECHANICAL ENGINEERING-SYNERGETIC ENGINEERING, ICTM 2024","LECTURE NOTES IN NETWORKS AND SYSTEMS","THE PROCEEDINGS CONTAIN 52 PAPERS. THE SPECIAL FOCUS IN THIS CONFERENCE IS ON INTEGRATED COMPUTER TECHNOLOGIES IN MECHANICAL ENGINEERING-SYNERGETIC ENGINEERING. THE TOPICS INCLUDE: ALGORITHMIC PROVISION OF CONTOURS GUIDANCE OF UNMANNED SYSTEMS; IMPACT OF INFORMATION TECHNOLOGIES ON RAILWAY TRANSPORTATION: UTILIZATION OF SATELLITE NAVIGATION SYSTEMS; MACHINE LEARNING MODEL OF AUTOMOTIVE DAMPERS; METHOD OF INTERPRETIVE VISUAL ANALYTICS FOR NEURAL NETWORK DETECTION OF SOCIAL MEDIA POSTS SENTIMENTS; COMPARATIVE ANALYSIS REGION OF INTEREST (ROI) TRACKING METHODS; PERFORMANCE EVALUATION OF MODIFIED DETECTION ALGORITHMS WITHIN THE FRAMEWORK OF A SIMULATION SYSTEM FOR MODELLING UAV VISUAL GUIDANCE; MODEL-ORIENTED APPROACH TO VIBRATION DIAGNOSTIC SYSTEMS; ANALYSIS OF OPTICAL COHERENCE TOMOGRAPHY IMAGES OF HUMAN ARTERIOSCLEROTIC VESSELS USING COMPUTER VISION AND DEEP LEARNING ALGORITHMS; SENSITIVITY ANALYSIS OF PARAMETERS USED TO GENERATE MATERIAL MICROSTRUCTURES BY CELLULAR AUTOMATA; REMOTE MONITORING OF ICHTHYOFAUNA USING ARTIFICIAL INTELLIGENCE AND ALTSHULLER’S ALGORITHM; APPLICATION OF DETECTRON2 SOFTWARE PLATFORM FOR SURGICAL INSTRUMENT DETECTION AND SEGMENTATION ON OPERATIONAL SPACE OF LAPAROSCOPIC INTERVENTION; SIMULATION OF ACUTE UPPER RESPIRATORY TRACT INFECTIONS IN KHARKIV OBLAST (UKRAINE): THE ARIMA MODEL APPROACH; IMAGE SET FOR VERIFICATION OF METHODS OF DENOISING OF SAR IMAGES; MATHEMATICAL METHODS OF ANALYZING POWER CONSUMPTION BY AN INDUCTION MOTOR WITH A SQUIRREL-CAGE WINDING; MODEL OF INFORMATION TECHNOLOGY INTEGRATION FOR SOLVING ECOSYSTEM MONITORING TASKS; EMERGING TECHNOLOGIES IN INFECTIOUS DISEASE SURVEILLANCE AND CONTROL: CURRENT SOLUTIONS AND FUTURE DIRECTIONS; DEVELOPING HARDWARE AND SOFTWARE FOR UAV ONBOARD COMPUTERS: A COMBINED APPROACH WITH SWOT ANALYSIS; OPTIMIZATION OF UAV ROUTES AND EFFICIENCY ENHANCEMENT USING MODERN IT TECHNOLOGIES; UNMANNED TECHNOLOGIES AND DRONES IN RUNWAY SERVICE.","CONFERENCE REVIEW",NA,"",0,NA
"",2024,"","INTERNATIONAL CONFERENCE ON IMAGE, VISION AND INTELLIGENT SYSTEMS, ICIVIS 2023","LECTURE NOTES IN ELECTRICAL ENGINEERING","THE PROCEEDINGS CONTAIN 72 PAPERS. THE SPECIAL FOCUS IN THIS CONFERENCE IS ON IMAGE, VISION AND INTELLIGENT SYSTEMS. THE TOPICS INCLUDE: A FINE SEGMENTATION METHOD FOR THE OUTER BOUNDARY OF TIRE IMAGE STEEL BELT BASED ON ADAPTIVE THRESHOLDING UNDER LOCAL HISTOGRAM STATISTICAL FEATURES; NIGHT SCENE IMAGE STITCHING AND IMAGE RECOGNITION BASED ON IMPROVED SIFT; OPTICAL IMAGE ENCRYPTION BASED ON CHAOTIC PALMPRINT PHASE MASK AND PHASE-SHIFTING DIGITAL HOLOGRAPHY; HEALTH MONITORING OF ULTRA-LOW TEMPERATURE VALVES BASED ON COMPLEX SHEARLET DOMAIN DYNAMIC THRESHOLD; SPECKLE SUPPRESSION BASED ON CONTEXTUAL CONVNEXT NETWORK; MIRROR R-CNN: OBJECT DETECTION WITH FLIPPED IMAGE; RESEARCH ON VIRTUAL DATA SET GENERATION FOR SHIP TARGET RECOGNITION AT SEA; DESIGN AND RESEARCH OF ONE-PIECE BIONIC LIFE JACKET BASED ON VIRTUAL REALITY TECHNOLOGY; AN OBJECT DETECTION AND SEGMENTATION MODEL-BASED SHAPE CHANGE ESTIMATION METHOD FOR WOOD SPECIMEN; HIGH ORDER CONDITIONAL RANDOM FIELD BASED CERVICAL CANCER HISTOPATHOLOGICAL IMAGE CLASSIFICATION; ENCRYPTED IMAGE SEARCH BASED ON SGX AND HIERARCHICAL INDEX; SFINET: AN ORIENTED FINE-GRAINED SHIP IDENTIFICATION NETWORK BASED ON REMOTE SENSING IMAGE; A FULLY END-TO-END QUERY-BASED DETECTOR WITH TRANSFORMERS FOR MULTISCALE SHIP DETECTION IN SAR IMAGES; DESIGN OF ACCELERATORS FOR COMBINED INFRARED AND VISIBLE IMAGE TARGET DETECTION BASED ON DEEP LEARNING; VISIBLE AND INFRARED IMAGE FUSION FOR OBJECT DETECTION: A SURVEY; MULTISPECTRAL POINT CLOUD CLASSIFICATION: A SURVEY; MULTIPLE MACHINE LEARNING FUSION BASED ANALYSIS OF FAT COMPOSITION IN CT IMAGES; TEXTURE FEATURES AND MACHINE LEARNING BASED ENVIRONMENTAL MICROORGANISM MICROSCOPIC IMAGE CLASSIFICATION; DEEP CONVOLUTIONAL NEURAL NETWORK BASED SPERM DETECTION IN MICROSCOPIC VIDEOS; SALIENCY DETECTION BASED PYRAMID OPTIMIZATION OF LARGE SCALE SATELLITE IMAGE.","CONFERENCE REVIEW",NA,"",0,NA
"",2021,"CHANG J;LEE K;LEE S","SHIP DETECTION AND CLASSIFICATION FOR KOMPSAT OPTICAL IMAGES USING DEEP LEARNING","","MANY STUDIES HAVE BEEN CONDUCTED TO APPLY DEEP LEARNING-BASED TECHNOLOGY TO HIGH-RESOLUTION SATELLITE IMAGE ANALYSIS, AND THE KEY IS HOW TO EFFICIENTLY APPLY MODELS APPROPRIATE TO OUR OWN PROBLEM. OUR MISSION IS TO FIND AND CLASSIFY SHIPS IN KOMPSAT (KOREA MULTI-PURPOSE SATELLITE) OPTICAL IMAGES WHICH INCLUDE KOMPAT-2 (GSD 1 M), KOMPSAT-3 (GSD 70 CM), AND KOMPSAT-3A (GSD 55 CM). THE SAME MODEL WAS USED FOR THE DIFFERENT SATELLITE IMAGES WITH DIFFERENT GSDS BY UNIFYING THE RESOLUTION IN THE PREPROCESSING STEP. THIS ALSO MAKES IT POSSIBLE TO USE PUBLIC DATASETS FROM OTHER OPTICAL SATELLITES SUCH AS XVIEW AND DOTA FOR SHIP DETECTION. OUR DEEP-LEARNING BASED ANALYSIS CONSISTS OF THREE STEPS: DETECTION, POSE ESTIMATION, AND TYPE CLASSIFICATION. POSE ESTIMATION MEANS MEASURING THE HEADING AND THE SIZE OF THE SHIP. STATE-OF-ART OBJECT DETECTION MODELS USUALLY DON'T PRODUCE ORIENTED BOUNDING BOXES. THIS IS WHY WE SEPARATE POSE ESTIMATION FROM THE DETECTION. WE USED AIS DATA MANUALLY REGISTERED TO SATELLITE IMAGES TO CREATE THE GROUND TRUTH OF SHIP TYPES. SO THE TRAINING DATA IS PREPARED FROM DIFFERENT INFORMATION SOURCES BY DIFFERENT METHODS FOR EACH MODEL, AND THAT'S ANOTHER REASON TO DIVIDE THE ANALYSIS INTO THREE STEPS. IN THIS STUDY, WE USED THE FASTERRCNN + RESNEST MODEL FOR DETECTION, AND THE RESNEST MODEL FOR BOTH POSE ESTIMATION AND CLASSIFICATION. IT HAS PERFORMED WELL ENOUGH TO ACHIEVE OUR INITIAL GOAL, AND THE METHOD SEEMS TO BE EFFICIENT TO ADOPT STATE-OF-ART MODELS FOR FURTHER PERFORMANCE ENHANCEMENT. © ACRS 2021.ALL RIGHT RESERVED.","CONFERENCE PAPER",NA,"AIS; AND HIGH-RESOLUTION SATELLITE IMAGE; MACHINE LEARNING; OBJECT DETECTION; POSE ESTIMATION",0,NA
"",2020,"","2ND INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND COMPUTER SCIENCE","JOURNAL OF PHYSICS: CONFERENCE SERIES","THE PROCEEDINGS CONTAIN 191 PAPERS. THE TOPICS DISCUSSED INCLUDE: MULTI-CATEGORY CLASSIFICATION PROBLEM ORIENTED SUBSAMPLING-BASED ACTIVE LEARNING METHOD; RESEARCH ON VIRTUAL COUPLING TRAIN OPERATIONS BASED ON MOVING-BLOCK AND VEHICLE-TO-VEHICLE COMMUNICATION; A NOVEL SUPERHEAT IDENTIFICATION OF ALUMINUM ELECTROLYSIS WITH KERNEL SEMI-SUPERVISED EXTREME LEARNING MACHINE; REAL-TIME MULTI-OBJECT GRASP BASED ON CONVOLUTIONAL NEURAL NETWORK; SEMI-SUPERVISED DEEP LEARNING IN MOTOR IMAGERY-BASED BRAIN-COMPUTER INTERFACES WITH STACKED VARIATIONAL AUTOENCODER; ROBUST LEARNING CONTROL FOR A CLASS OF UNCERTAIN LINEAR MOTOR SYSTEMS; REMOTE SENSING IMAGE BUILDING EXTRACTION METHOD BASED ON DEEP LEARNING; A SHIP RANGING AND POSITIONING SYSTEM BASED ON BINOCULAR VISION TECHNOLOGY; RESEARCH ON HARMONIC POWER SHARING METHOD BASED ON INTELLIGENT MATCHING VIRTUAL HARMONIC IMPEDANCE; DESIGN OF TIRE DAMAGE IMAGE RECOGNITION SYSTEM BASED ON DEEP LEARNING; RESEARCH ON THE METHOD OF INDIVIDUAL IDENTIFICATION OF CHICKENS BASED ON DEPTH IMAGE; AND TRAINING AND OPERATION OF MULTI-LAYER CONVOLUTIONAL NEURAL NETWORK USING ELECTRONIC SYNAPSES.","CONFERENCE REVIEW",NA,"",0,NA
"",2020,"","3RD CHINESE CONFERENCE ON PATTERN RECOGNITION AND COMPUTER VISION, PRCV 2020","LECTURE NOTES IN COMPUTER SCIENCE","THE PROCEEDINGS CONTAIN 158 PAPERS. THE SPECIAL FOCUS IN THIS CONFERENCE IS ON PATTERN RECOGNITION AND COMPUTER VISION. THE TOPICS INCLUDE: UNDERWATER IMAGE PROCESSING BY AN ADVERSARIAL NETWORK WITH FEEDBACK CONTROL; INCEPTION PARALLEL ATTENTION NETWORK FOR SMALL OBJECT DETECTION IN REMOTE SENSING IMAGES; HYPERSPECTRAL IMAGE DENOISING BASED ON GRAPH-STRUCTURED LOW RANK AND NON-LOCAL CONSTRAINT; MULTI-HUMAN PARSING WITH POSE AND BOUNDARY GUIDANCE; M2E-NET: MULTISCALE MORPHOLOGICAL ENHANCEMENT NETWORK FOR RETINAL VESSEL SEGMENTATION; DUDA: DEEP UNSUPERVISED DOMAIN ADAPTATION LEARNING FOR MULTI-SEQUENCE CARDIAC MR IMAGE SEGMENTATION; LEARNING FROM RANKINGS WITH MULTI-LEVEL FEATURES FOR NO-REFERENCE IMAGE QUALITY ASSESSMENT; REVERSIBLE DATA HIDING BASED ON PREDICTION-ERROR-ORDERING; AGGREGATING SPATIO-TEMPORAL CONTEXT FOR VIDEO OBJECT SEGMENTATION; POSITION AND ORIENTATION DETECTION OF INSULATORS IN ARBITRARY DIRECTION BASED ON YOLOV3; R-PFN: TOWARDS PRECISE OBJECT DETECTION BY RECURRENT PYRAMIDAL FEATURE FUSION; IMAGE SUPER-RESOLUTION BASED ON NON-LOCAL CONVOLUTIONAL NEURAL NETWORK; VH3D-LSFM: VIDEO-BASED HUMAN 3D POSE ESTIMATION WITH LONG-TERM AND SHORT-TERM POSE FUSION MECHANISM; AUTOMATIC TOOTH SEGMENTATION AND 3D RECONSTRUCTION FROM PANORAMIC AND LATERAL RADIOGRAPHS; UNREGISTERED HYPERSPECTRAL AND MULTISPECTRAL IMAGE FUSION WITH SYNCHRONOUS NONNEGATIVE MATRIX FACTORIZATION; CLOUD DETECTION ALGORITHM USING ADVANCED FULLY CONVOLUTIONAL NEURAL NETWORKS IN FY3D-MERSI IMAGERY; MULTI-LAYER POINTPILLARS: MULTI-LAYER FEATURE ABSTRACTION FOR OBJECT DETECTION FROM POINT CLOUD; BUILDING DETECTION VIA COMPLEMENTARY CONVOLUTIONAL FEATURES OF REMOTE SENSING IMAGES; HYPERSPECTRAL IMAGE SUPER-RESOLUTION VIA SELF-PROJECTED SMOOTH PRIOR; 3D POINT CLOUD SEGMENTATION FOR COMPLEX STRUCTURE BASED ON POINTSIFT; COMPLETELY BLIND IMAGE QUALITY ASSESSMENT WITH VISUAL SALIENCY MODULATED MULTI-FEATURE COLLABORATION; BLOOD FLOW VELOCITY DETECTION OF NAILFOLD MICROCIRCULATION BASED ON SPATIOTEMPORAL ANALYSIS; BLIND SUPER-RESOLUTION WITH KERNEL-AWARE FEATURE REFINEMENT; PREFACE.","CONFERENCE REVIEW",NA,"",0,NA
"",2020,"","3RD CHINESE CONFERENCE ON PATTERN RECOGNITION AND COMPUTER VISION, PRCV 2020","LECTURE NOTES IN COMPUTER SCIENCE","THE PROCEEDINGS CONTAIN 158 PAPERS. THE SPECIAL FOCUS IN THIS CONFERENCE IS ON PATTERN RECOGNITION AND COMPUTER VISION. THE TOPICS INCLUDE: UNDERWATER IMAGE PROCESSING BY AN ADVERSARIAL NETWORK WITH FEEDBACK CONTROL; INCEPTION PARALLEL ATTENTION NETWORK FOR SMALL OBJECT DETECTION IN REMOTE SENSING IMAGES; HYPERSPECTRAL IMAGE DENOISING BASED ON GRAPH-STRUCTURED LOW RANK AND NON-LOCAL CONSTRAINT; MULTI-HUMAN PARSING WITH POSE AND BOUNDARY GUIDANCE; M2E-NET: MULTISCALE MORPHOLOGICAL ENHANCEMENT NETWORK FOR RETINAL VESSEL SEGMENTATION; DUDA: DEEP UNSUPERVISED DOMAIN ADAPTATION LEARNING FOR MULTI-SEQUENCE CARDIAC MR IMAGE SEGMENTATION; LEARNING FROM RANKINGS WITH MULTI-LEVEL FEATURES FOR NO-REFERENCE IMAGE QUALITY ASSESSMENT; REVERSIBLE DATA HIDING BASED ON PREDICTION-ERROR-ORDERING; AGGREGATING SPATIO-TEMPORAL CONTEXT FOR VIDEO OBJECT SEGMENTATION; POSITION AND ORIENTATION DETECTION OF INSULATORS IN ARBITRARY DIRECTION BASED ON YOLOV3; R-PFN: TOWARDS PRECISE OBJECT DETECTION BY RECURRENT PYRAMIDAL FEATURE FUSION; IMAGE SUPER-RESOLUTION BASED ON NON-LOCAL CONVOLUTIONAL NEURAL NETWORK; VH3D-LSFM: VIDEO-BASED HUMAN 3D POSE ESTIMATION WITH LONG-TERM AND SHORT-TERM POSE FUSION MECHANISM; AUTOMATIC TOOTH SEGMENTATION AND 3D RECONSTRUCTION FROM PANORAMIC AND LATERAL RADIOGRAPHS; UNREGISTERED HYPERSPECTRAL AND MULTISPECTRAL IMAGE FUSION WITH SYNCHRONOUS NONNEGATIVE MATRIX FACTORIZATION; CLOUD DETECTION ALGORITHM USING ADVANCED FULLY CONVOLUTIONAL NEURAL NETWORKS IN FY3D-MERSI IMAGERY; MULTI-LAYER POINTPILLARS: MULTI-LAYER FEATURE ABSTRACTION FOR OBJECT DETECTION FROM POINT CLOUD; BUILDING DETECTION VIA COMPLEMENTARY CONVOLUTIONAL FEATURES OF REMOTE SENSING IMAGES; HYPERSPECTRAL IMAGE SUPER-RESOLUTION VIA SELF-PROJECTED SMOOTH PRIOR; 3D POINT CLOUD SEGMENTATION FOR COMPLEX STRUCTURE BASED ON POINTSIFT; COMPLETELY BLIND IMAGE QUALITY ASSESSMENT WITH VISUAL SALIENCY MODULATED MULTI-FEATURE COLLABORATION; BLOOD FLOW VELOCITY DETECTION OF NAILFOLD MICROCIRCULATION BASED ON SPATIOTEMPORAL ANALYSIS; BLIND SUPER-RESOLUTION WITH KERNEL-AWARE FEATURE REFINEMENT; PREFACE.","CONFERENCE REVIEW",NA,"",0,NA
"",2020,"","3RD CHINESE CONFERENCE ON PATTERN RECOGNITION AND COMPUTER VISION, PRCV 2020","LECTURE NOTES IN COMPUTER SCIENCE","THE PROCEEDINGS CONTAIN 158 PAPERS. THE SPECIAL FOCUS IN THIS CONFERENCE IS ON PATTERN RECOGNITION AND COMPUTER VISION. THE TOPICS INCLUDE: UNDERWATER IMAGE PROCESSING BY AN ADVERSARIAL NETWORK WITH FEEDBACK CONTROL; INCEPTION PARALLEL ATTENTION NETWORK FOR SMALL OBJECT DETECTION IN REMOTE SENSING IMAGES; HYPERSPECTRAL IMAGE DENOISING BASED ON GRAPH-STRUCTURED LOW RANK AND NON-LOCAL CONSTRAINT; MULTI-HUMAN PARSING WITH POSE AND BOUNDARY GUIDANCE; M2E-NET: MULTISCALE MORPHOLOGICAL ENHANCEMENT NETWORK FOR RETINAL VESSEL SEGMENTATION; DUDA: DEEP UNSUPERVISED DOMAIN ADAPTATION LEARNING FOR MULTI-SEQUENCE CARDIAC MR IMAGE SEGMENTATION; LEARNING FROM RANKINGS WITH MULTI-LEVEL FEATURES FOR NO-REFERENCE IMAGE QUALITY ASSESSMENT; REVERSIBLE DATA HIDING BASED ON PREDICTION-ERROR-ORDERING; AGGREGATING SPATIO-TEMPORAL CONTEXT FOR VIDEO OBJECT SEGMENTATION; POSITION AND ORIENTATION DETECTION OF INSULATORS IN ARBITRARY DIRECTION BASED ON YOLOV3; R-PFN: TOWARDS PRECISE OBJECT DETECTION BY RECURRENT PYRAMIDAL FEATURE FUSION; IMAGE SUPER-RESOLUTION BASED ON NON-LOCAL CONVOLUTIONAL NEURAL NETWORK; VH3D-LSFM: VIDEO-BASED HUMAN 3D POSE ESTIMATION WITH LONG-TERM AND SHORT-TERM POSE FUSION MECHANISM; AUTOMATIC TOOTH SEGMENTATION AND 3D RECONSTRUCTION FROM PANORAMIC AND LATERAL RADIOGRAPHS; UNREGISTERED HYPERSPECTRAL AND MULTISPECTRAL IMAGE FUSION WITH SYNCHRONOUS NONNEGATIVE MATRIX FACTORIZATION; CLOUD DETECTION ALGORITHM USING ADVANCED FULLY CONVOLUTIONAL NEURAL NETWORKS IN FY3D-MERSI IMAGERY; MULTI-LAYER POINTPILLARS: MULTI-LAYER FEATURE ABSTRACTION FOR OBJECT DETECTION FROM POINT CLOUD; BUILDING DETECTION VIA COMPLEMENTARY CONVOLUTIONAL FEATURES OF REMOTE SENSING IMAGES; HYPERSPECTRAL IMAGE SUPER-RESOLUTION VIA SELF-PROJECTED SMOOTH PRIOR; 3D POINT CLOUD SEGMENTATION FOR COMPLEX STRUCTURE BASED ON POINTSIFT; COMPLETELY BLIND IMAGE QUALITY ASSESSMENT WITH VISUAL SALIENCY MODULATED MULTI-FEATURE COLLABORATION; BLOOD FLOW VELOCITY DETECTION OF NAILFOLD MICROCIRCULATION BASED ON SPATIOTEMPORAL ANALYSIS; BLIND SUPER-RESOLUTION WITH KERNEL-AWARE FEATURE REFINEMENT; PREFACE.","CONFERENCE REVIEW",NA,"",0,NA
